Designator,Mid X,Mid Y,Rotation,Layer
BZ1,0.0,-27.0,180.0,top
C1,-13.3,-6.3,90.0,top
C10,13.3,-13.2,90.0,top
C11,-11.7,-2.6,0.0,top
C12,13.5,-3.0,90.0,top
C13,5.8,-29.9,0.0,top
C2,-13.3,-11.8,90.0,top
C3,-13.3,-4.4,90.0,top
C4,-13.3,-9.9,90.0,top
C5,11.1,-20.3,270.0,top
C6,11.0,-3.0,270.0,top
C7,13.3,-10.0,90.0,top
C8,13.3,-15.1,90.0,top
C9,13.3,-8.1,90.0,top
H1,-16.5,-3.5,0.0,top
H2,16.5,-3.5,0.0,top
H3,-12.0,-33.5,0.0,top
H4,12.0,-33.5,0.0,top
J1,-15.0,-10.0,0.0,bottom
J2,15.0,-10.0,180.0,bottom
J4,1.27,3.1,270.0,bottom
MK1,-12.5,-0.5,270.0,top
MK2,12.5,-0.5,90.0,top
MK3,0.0,-34.0,0.0,top
R1,12.1,-18.4,270.0,top
R2,12.1,-20.3,270.0,top
U1,-11.5,-5.6,90.0,top
U2,-11.5,-11.0,90.0,top
U3,-0.00102,-10.15865,0.0,top
U4,11.5,-9.1,270.0,top
U5,11.5,-14.2,270.0,top
